Mageplaza,Mageplaza
"Close popup","Loka popup",module,Magento_AdminNotification
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Þú hefur skoðað og brugðist við öllum kerfis skilaboðum. Endurnýjaðu síðuna til að heinsa boð um kerfis skilaboð.",module,Magento_AdminNotification
"Manage Shopping Cart","Sjá um vörukörfu",module,Magento_AdvancedCheckout
"Create Order","Gera pöntun",module,Magento_AdvancedCheckout
"Back","Til baka",module,Magento_AdvancedCheckout
"Add Products","Bæta við vörum",module,Magento_AdvancedCheckout
"Update Items and Quantities","Uppfæra vörur og magn",module,Magento_AdvancedCheckout
"Are you sure you want to clear your cart?","Eru viss umað þú viljir hreinsa úr körfunni?",module,Magento_AdvancedCheckout
"Clear my shopping cart","Tæma körfu",module,Magento_AdvancedCheckout
"Add selections to my cart","Bæta vali við körfu",module,Magento_AdvancedCheckout
"Cancel","Hætta við",module,Magento_AdvancedCheckout
"Shopping Cart for %1 in %2","Karfa fyrir %1 í %2",module,Magento_AdvancedCheckout
"Select products you want to buy","Veldu vörur sem þú vilt kaupa",module,Magento_AdvancedCheckout
"Product","Vöru",module,Magento_AdvancedCheckout
"Price","Verð",module,Magento_AdvancedCheckout
"Quantity","Magn",module,Magento_AdvancedCheckout
"Products in the Comparison List (%1)","Vörur í samanburðar lista (%1)",module,Magento_AdvancedCheckout
"Last ordered items (%1)","Vörur seldar síðast (%1)",module,Magento_AdvancedCheckout
"Products","Vörur",module,Magento_AdvancedCheckout
"ID","ID",module,Magento_AdvancedCheckout
"SKU","Vörunúmer",module,Magento_AdvancedCheckout
"Recently Compared Products (%1)","Nýlega samanbornar vörur (%1)",module,Magento_AdvancedCheckout
"Recently Viewed Products (%1)","Nýlega skoðaðar vörur (%1)",module,Magento_AdvancedCheckout
"Add to Shopping Cart by SKU","Bæta í körfu eftir vörunúmeri",module,Magento_AdvancedCheckout
"Add to Shopping Cart","Setja í körfu",module,Magento_AdvancedCheckout
"Wish List (%1)","Óskalisti (%1)",module,Magento_AdvancedCheckout
"Apply","Virkja",module,Magento_AdvancedCheckout
"Configure","Stilla",module,Magento_AdvancedCheckout
"Add to Order by SKU","Bæta við pöntun eftir vörunúmeri",module,Magento_AdvancedCheckout
"Add to Order","Bæta við pöntun",module,Magento_AdvancedCheckout
"Add Products to Order","Bæta vörum við pöntun",module,Magento_AdvancedCheckout
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> vara(öur) þarfnast athygli.</span>",module,Magento_AdvancedCheckout
"Remove All","Fjarlægja allt",module,Magento_AdvancedCheckout
"Only %1%2%3 left in stock","Aðeins %1%2%3 eftir á lager",module,Magento_AdvancedCheckout
